,chembl_id,canonical_smiles
6751,CHEMBL4085868,CN(C)c1ccc(cc1)C(=O)Nc2cccc(C3=CN(C)C(=O)C(=C3)Nc4ccc(C(=O)N5CCOCC5)c(NC(=O)C=C)c4)c2C
6818,CHEMBL4076515,CCC(=O)N1CC[C@@H](C1)N2C(=O)N(Cc3cnc(Nc4ccc(N(C)CCN(C)C)c(C)c4)nc23)c5cc(OC)ccc5F
4761,CHEMBL3221556,Cl.CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C
6807,CHEMBL4096014,CCC(=O)N1CC[C@@H](C1)N2C(=O)N(Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(CC)c4)nc23)c6cc(OC)ccc6F
3659,CHEMBL1270795,CSc1cn2c(cnc2c(Nc3cc(C)ns3)n1)c4cn[nH]c4
2092,CHEMBL399736,COc1cc2ncnc(Nc3cccc(c3)C#CCO)c2cc1OC
3555,CHEMBL1760035,COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC
4182,CHEMBL2064389,Fc1ccc(Nc2ncnc3cc4OC(=O)N(CCCN5CCOCC5)c4cc23)cc1F
5444,CHEMBL3741960,Cc1c([nH]c(c2ccccc2)c1c3ccccc3)C(=O)c4coc5ccc(O)cc45
2920,CHEMBL611681,CCCCCCNC(=O)COc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3
6829,CHEMBL4082724,COc1cc2c(Oc3ccc(NC(=O)C4=Nc5ccccc5N(C4=O)c6ccc(F)cc6)cc3F)ccnc2cc1OCCCN7CCN(C)CC7
6111,CHEMBL3969511,COc1cc(N2CCC(CCS(=O)(=O)C)CC2)c(C)cc1Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7c(F)cccc7F
2719,CHEMBL472943,COc1cc2nccc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C(C)N(C)C
6096,CHEMBL3897153,Cc1cc(OC2CCN(CCS(=O)(=O)C)CC2)ccc1Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7c(F)cccc7F
101,CHEMBL79064,OC(=C(C#N)C#N)c1ccc(O)cc1
3072,CHEMBL592247,Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc3ccccc3)c1
2934,CHEMBL589825,Fc1ccccc1NC(=O)c2ccc(cc2)N(CCCl)CCCl
5284,CHEMBL481789,COc1ccc2c(SCc3cnc(nc23)c4ccccc4)c1
2372,CHEMBL501368,OC(=O)\C(=C\c1cc(O)ccc1O)\C#N
4842,CHEMBL3237935,CCOC(=O)N1CCN(CCC(=O)Nc2cccc(Oc3nc(Nc4ccc(cc4OC)N5CCN(C)CC5)ncc3Cl)c2)CC1
788,CHEMBL87084,Oc1cc2cc(cnc2cc1O)c3ccncc3
510,CHEMBL324718,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)C=C
3689,CHEMBL1821865,Cc1ccc(cc1)C2CC(=NN2c3nc(cs3)c4ccccc4)c5ccc(C)c(C)c5
5578,CHEMBL3758875,COc1cc2c(Nc3ccc(NC(=O)c4ccc(C)cc4)cc3)ncnc2cc1OCCCN5CCOCC5
1201,CHEMBL48650,Oc1ccc2cc(ncc2c1O)C(=O)Nc3ccccc3
4854,CHEMBL3237947,CCOC(=O)C1=C(N)N(C2=C(C1c3c(C)nn(c3Cl)c4ccccc4)C(=O)CC(C)(C)C2)c5cccnc5
3985,CHEMBL1944931,CCOC(=O)c1ccc(NC(=O)CSc2nnc(CNc3ccc(OC)cc3)n2c4ccccc4)cc1
4704,CHEMBL3133755,Fc1ccc(NC(=O)Nc2cccc(Nc3ncnc4cc(OCCCN5CCOCC5)ccc34)c2)cc1Cl
5418,CHEMBL3735474,CO[C@H]1CCN(CC1(F)F)c2nccc(Nc3cc4c(cn3)nc(CO)n4C(C)C)n2
5298,CHEMBL3633942,CCOC(=O)C(=CNC(=O)Nc1ccc(cc1)C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)C(=O)OCC
6591,CHEMBL3985894,Nc1nc(Nc2ccccc2)c3Cc4ccccc4c3n1
4943,CHEMBL3347498,OB(O)c1ccc(COc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)cc1
3608,CHEMBL112225,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC
4130,CHEMBL2047021,ONC(=O)CCCCCC(=O)Nc1ccc(O)c(c1)C(=O)Nc2ccc(Cl)c(Cl)c2
2537,CHEMBL499345,Nc1nc(Nc2cccc(Br)c2)c3cc(Cc4ccccc4Cl)[nH]c3n1
4209,CHEMBL2070045,Cl.COc1ccc2cc(ccc2c1)c3nn(C(C)C)c4ncnc(N)c34
1461,CHEMBL55993,Cc1cc(C)c(C(=O)\C(=C\c2ccc(O)c(O)c2)\C#N)c(C)c1
4398,CHEMBL2337366,COc1cccc(Nc2nc(N)nc3[nH]c4cccc(Cl)c4c23)c1
4673,CHEMBL3098313,CN(C)S(=O)(=O)c1ccc(Nc2nc(Cl)nc3cc4OCOc4cc23)cc1
4191,CHEMBL2064397,CN(c1ccccc1)c2ncnc3cc4OC(=O)N(CCCN5CCOCC5)c4cc23
3698,CHEMBL1821874,Cc1ccc(cc1C)C2=NN(C(C2)c3ccc(O)cc3)c4nc(cs4)c5ccc(Cl)cc5
2887,CHEMBL594228,COc1cc2c(Nc3ccc(cc3F)c4nc5ccccc5s4)ncnc2cc1OCCCN6CCN(C)CC6
5447,CHEMBL3741762,CN(C)C\C=C\C(=O)Nc1cccc(Nc2nc(N\N=C\c3ccc(F)cc3)ncc2Cl)c1
4249,CHEMBL2205030,Brc1ccc(cc1)S2=NS(=O)(=O)c3cnccc23
3291,CHEMBL1233881,COc1ccc(cc1OC)c2nn(C3CCC3)c4ncnc(N)c24
1092,CHEMBL89723,CC(C)c1cc(\C=C\2/C(=O)Nc3ccc(Cl)cc23)cc(C(C)C)c1O
2390,CHEMBL449114,Oc1cccc(c1)C(=C(C#N)C#N)C#N
6103,CHEMBL3955829,COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6ccc(F)cc6F)N7CCC(CC7)N8CCCCC8
1661,CHEMBL193578,Clc1cc(Nc2ncnc3cccc(OC4CCOCC4)c23)ccc1OCc5ccccn5
1567,CHEMBL177688,OCCCNc1cncc(c1)c2cncc(Nc3cccc(Cl)c3)n2
3758,CHEMBL1828864,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c2ccc(Br)cc2
3438,CHEMBL1254443,CN(c1cccc(Br)c1)c2nc(N)nc3c2cc(Cc4ccccc4C)n3C
4818,CHEMBL3234740,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnccn4)c3)cc2C(F)(F)F)CC1
996,CHEMBL312451,C[C@@H](NC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2)C(=O)N[C@H](C)C(=O)OC(C)(C)C
3551,CHEMBL1278149,COc1cc2ncnc(Oc3ccc(Br)c(F)c3)c2cc1OC
6750,CHEMBL4096207,CN1C=C(C=C(Nc2ccc(C(=O)N3CCOCC3)c(NC(=O)C=C)c2)C1=O)c4cccc(NC(=O)c5cc6CCCCc6s5)c4C
4376,CHEMBL2325110,NC(=S)N1N=C(CC1c2ccc3ccccc3c2)c4ccc(F)cc4
4745,CHEMBL3218424,OB(O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
